region,CX_ConsequenceofError,CX_ContactWithOthers,CX_CoordinateorLeadOthers,CX_CrampedWorkSpaceAwkwardPositions,CX_DealWithExternalCustomers,CX_DealWithPhysicallyAggressivePeople,CX_DealWithUnpleasantorAngryPeople,CX_DegreeofAutomation,CX_ElectronicMail,CX_ExposedtoContaminants,CX_ExposedtoDiseaseorInfections,CX_ExposedtoHazardousConditions,CX_ExposedtoHazardousEquipment,CX_ExposedtoHighPlaces,CX_ExposedtoMinorBurnsCutsBitesorStings,CX_ExposedtoRadiation,CX_ExposedtoWholeBodyVibration,CX_ExtremelyBrightorInadequateLighting,CX_FacetoFaceDiscussions,CX_FreedomtoMakeDecisions,CX_FrequencyofConflictSituations,CX_FrequencyofDecisionMaking,CX_ImpactofDecisionsonCoworkersorCompanyResults,CX_ImportanceofBeingExactorAccurate,CX_ImportanceofRepeatingSameTasks,CX_InanEnclosedVehicleorEquipment,CX_InanOpenVehicleorEquipment,CX_IndoorsEnvironmentallyControlled,CX_IndoorsNotEnvironmentallyControlled,CX_LettersandMemos,CX_LevelofCompetition,CX_OutdoorsExposedtoWeather,CX_OutdoorsUnderCover,CX_PaceDeterminedbySpeedofEquipment,CX_PhysicalProximity,CX_PublicSpeaking,CX_ResponsibilityforOutcomesandResults,CX_ResponsibleforOthersHealthandSafety,CX_SoundsNoiseLevelsAreDistractingorUncomfortable,CX_SpendTimeBendingorTwistingtheBody,CX_SpendTimeClimbingLaddersScaffoldsorPoles,CX_SpendTimeKeepingorRegainingBalance,CX_SpendTimeKneelingCrouchingStoopingorCrawling,CX_SpendTimeMakingRepetitiveMotions,CX_SpendTimeSitting,CX_SpendTimeStanding,CX_SpendTimeUsingYourHandstoHandleControlorFeelObjectsToolsorControls,CX_SpendTimeWalkingandRunning,CX_StructuredversusUnstructuredWork,CX_Telephone,CX_TimePressure,CX_VeryHotorColdTemperatures,CX_WearCommonProtectiveorSafetyEquipmentsuchasSafetyShoesGlassesGlovesHearingProtectionHardHatsorLifeJackets,CX_WearSpecializedProtectiveorSafetyEquipmentsuchasBreathingApparatusSafetyHarnessFullProtectionSuitsorRadiationProtection,CX_WorkWithWorkGrouporTeam,SK_ActiveLearning,SK_ActiveListening,SK_ComplexProblemSolving,SK_Coordination,SK_CriticalThinking,SK_EquipmentMaintenance,SK_EquipmentSelection,SK_Installation,SK_Instructing,SK_JudgmentandDecisionMaking,SK_LearningStrategies,SK_ManagementofFinancialResources,SK_ManagementofMaterialResources,SK_ManagementofPersonnelResources,SK_Mathematics,SK_Monitoring,SK_Negotiation,SK_OperationMonitoring,SK_OperationandControl,SK_OperationsAnalysis,SK_Persuasion,SK_Programming,SK_QualityControlAnalysis,SK_ReadingComprehension,SK_Repairing,SK_Science,SK_ServiceOrientation,SK_SocialPerceptiveness,SK_Speaking,SK_SystemsAnalysis,SK_SystemsEvaluation,SK_TechnologyDesign,SK_TimeManagement,SK_Troubleshooting,SK_Writing,target_churn
"Abilene, TX",2.853767298306058,4.578931309216193,3.6177347832328453,1.893949540625897,3.7951396066609244,1.7641131926500144,3.3729424346827446,2.1075681883433823,3.556490884295148,2.622116494401378,2.1487947889750214,1.7383357019810508,1.8387029141544644,1.4768647717484928,2.0511510192362907,1.1906058713752512,1.2657938558713753,1.852888530002871,4.595070198105081,3.8836899942578236,3.1737366494401376,3.887283950617284,3.859661570485214,4.1772183462532295,3.4191960953201264,2.064866853287396,1.4482918461096757,3.995182170542636,1.982574361182888,3.087205569910996,2.9136095320126327,2.1884216192937123,1.6380673270169395,1.7618137381567616,3.6252642836635087,2.0569762417456214,3.174836419753086,3.196945377548091,3.0253430232558136,2.438043927648579,1.3358824289405686,1.566879701406833,1.8961622882572495,3.2010096181452767,2.8360029428653455,3.3651352282515075,3.330909919609532,2.8659619580821127,3.926484711455642,4.242575366063738,3.8188656330749353,2.1842175567039908,2.706482199253517,1.4505312230835485,4.2883320413436685,2.947811656617858,3.59470262704565,2.941835701981051,3.2002683749641117,3.315353789836348,1.4398011771461385,1.442775624461671,1.165316896353718,2.7624392047085844,3.082253732414585,2.614636233132357,1.8010471576227391,1.893640683318978,2.5486694659776057,2.390421547516509,3.2340198105081828,2.70395887166236,2.3169006603502726,1.9914300172265287,1.7472368647717484,2.813870585701981,1.3683215618719495,2.125117499282228,3.332428868791272,1.4261947315532588,1.4886092449038186,3.194260335917313,3.270465546942291,3.5426655182314097,2.425205498133793,2.390738084984209,1.554030505311513,3.1106895635946024,1.8055832615561298,2.9830116996841802,10.590946502057614
"Aguadilla-Isabela, PR",2.754597587719298,4.566443530701754,3.63693201754386,1.7457242324561404,3.814537828947368,1.7093525219298245,3.411479166666667,2.1187527412280702,3.5492587719298245,2.5166875,1.9937434210526317,1.6464325657894738,1.7617297149122808,1.4145356359649122,1.9880060307017544,1.1394934210526315,1.2188015350877193,1.7746069078947369,4.600719846491228,3.853386513157895,3.165495065789474,3.8732823464912283,3.8286595394736844,4.128604714912281,3.347324561403509,1.916341557017544,1.3775734649122808,4.0495235745614035,1.9251436403508773,3.0453612938596493,2.933074561403509,2.114825109649123,1.5661074561403507,1.7567061403508772,3.5902121710526314,2.103115131578947,3.1445855263157894,3.127514254385965,2.931294407894737,2.347222587719298,1.2897543859649123,1.508862390350877,1.8564501096491228,3.1163963815789475,2.782171600877193,3.4227269736842105,3.2530992324561407,2.8593125,3.9039780701754387,4.185314144736842,3.7529281798245613,2.161799342105263,2.5441151315789474,1.3276847587719298,4.293037280701754,2.9097138157894737,3.589078399122807,2.8863645833333336,3.1732801535087716,3.271828399122807,1.3800027412280702,1.3956211622807018,1.1258826754385967,2.7786677631578947,3.0261047149122806,2.6136173245614036,1.7761304824561404,1.8743914473684211,2.52296600877193,2.378920504385965,3.192159539473684,2.7189572368421056,2.2234457236842107,1.9110285087719296,1.717782346491228,2.8733316885964912,1.3608322368421053,2.098453947368421,3.30193475877193,1.3696365131578947,1.3866809210526316,3.2131167763157893,3.255355263157895,3.551882127192983,2.3660257675438596,2.3529468201754384,1.543797149122807,3.057888157894737,1.7375537280701754,2.970983004385965,10.744849614053766
"Akron, OH",2.8723044792368584,4.505566277829533,3.591542687394828,1.891819772515548,3.6661446116967804,1.6487472847065985,3.2533313762600695,2.1686592808476846,3.613176633073004,2.65122238648791,1.9261922835221672,1.7825902616427143,1.9521488731946628,1.4986783814899778,2.104567195303515,1.1834819450939382,1.2618850598413967,1.8969371017886754,4.577346849965081,3.953962436958184,3.1131274000076097,3.88547490662631,3.836803957596132,4.16317046543854,3.3547719257870945,2.08637400596757,1.4940781497587565,3.968310208079417,2.1224574451632856,3.0749674710980357,2.999391689588174,2.1792827323418478,1.6455818472709598,1.8655849175869024,3.5324043814138797,2.084930084800371,3.2127845740404575,3.172924640712279,3.041024214562491,2.387450873103836,1.3518421159220706,1.571257553050862,1.8671580688001157,3.125377971050781,2.8771192470699134,3.325084124692999,3.3095445499590666,2.8044183405197014,3.970252188129421,4.175383186230649,3.8555961304077266,2.2384746642167963,2.792679454228788,1.474946242775276,4.228130476460501,2.9874954960926043,3.581875741496949,2.9870020957683274,3.177062355091275,3.3605650958530178,1.515504994249678,1.515436203339237,1.1944028490175358,2.764261364096635,3.1121262677403876,2.64212620759828,1.852141118545003,1.9410302662086047,2.5438448935055114,2.440122098296751,3.232574242976568,2.696357406132286,2.3634636348907687,2.0431056911616876,1.8582891252023659,2.82731100220071,1.427088758703729,2.19510563470175,3.356170937983668,1.4916068148371806,1.5660798282145036,3.10685784860636,3.2382030778030213,3.5334586136385115,2.4822750151275814,2.4425990534368758,1.60793581855249,3.089978599228954,1.8561629218999505,3.0194533229741625,10.19351887643345
"Albany, GA",2.822110829045169,4.561019454926625,3.613017297503335,1.9133075814751286,3.7908687249857063,1.68187198017915,3.3407826796264533,2.15228172288927,3.586801578044597,2.635790859538784,1.9460564055650849,1.7613813912712026,1.928480663236135,1.520479397751096,2.085499332952163,1.1225914694110921,1.2886780102915953,1.919794816085382,4.605132189822756,3.8781363674480653,3.1558195692776825,3.9145767791118735,3.844676500857633,4.159482736801982,3.4046385134362493,2.2066499790356393,1.5671188412426147,3.9615793558223746,2.154265568896512,3.077209292929293,2.9420944844673147,2.301635418334286,1.7348376367448066,1.791093996569468,3.5644819439679822,2.0360735353535353,3.1547897236516103,3.1442399695063847,2.9892422641509433,2.384316241661902,1.3509124528301888,1.557378936535163,1.8888518925100057,3.1314286639984754,2.8571609834190967,3.328034183342863,3.3279788526777208,2.8317518886983035,3.9289464303411474,4.22595887173623,3.8739994053744993,2.3098157270821424,2.6981834267200306,1.4195696131122546,4.278789517819707,2.935640762340385,3.568101924909472,2.935318681151134,3.1773632323232324,3.316264364398704,1.5258301124452067,1.483429998094149,1.2035107909281495,2.75572885077187,3.0742098723079856,2.619890245854774,1.8311790585096244,1.9321243834572137,2.537702328949876,2.3982252029731272,3.210409270059081,2.725116813417191,2.358269220506956,2.0559901276920143,1.7548038879359633,2.8444738784067085,1.3863531160663236,2.15567257480465,3.3073497388984183,1.5118343434343435,1.442365481227368,3.156251884886602,3.231248942252716,3.523973950829045,2.4340741680960547,2.3999703068420053,1.5729672727272728,3.1003222717743473,1.8659405755669907,2.9715807737754907,10.700581395348838
"Albany, OR",2.946791595959596,4.465477,3.547032303030303,2.0930882323232325,3.537554494949495,1.5948009595959596,3.176106282828283,2.162689494949495,3.2948623535353536,2.963529,1.806473707070707,1.9764394343434344,2.335442898989899,1.7101886868686869,2.3580437171717175,1.154282303030303,1.4508914141414142,2.086368424242424,4.579953070707071,3.906253202020202,3.0341817373737374,3.912240101010101,3.8442836363636363,4.179002151515151,3.3842119696969695,2.221571111111111,1.8019353131313132,3.7056413535353534,2.4250096767676768,2.9281152424242425,2.9520540303030303,2.450807070707071,1.8403233535353536,2.098185676767677,3.4704025353535357,1.9606892323232323,3.269544727272727,3.3411011515151516,3.2565018888888893,2.6271312020202022,1.5014018888888887,1.6727402424242426,2.013671909090909,3.2501073535353537,2.718926252525253,3.4804570404040405,3.5790082424242424,2.922862080808081,3.91176797979798,4.01326393939394,3.9018630101010103,2.5725347171717172,3.146504292929293,1.598887707070707,4.239817888888889,2.836015212121212,3.4436528383838385,2.8816391919191915,3.124210272727273,3.2350730505050502,1.7557456565656566,1.6637869191919192,1.280006313131313,2.650494383838384,3.02555603030303,2.5144319797979797,1.8392699696969697,1.9533204141414142,2.499782414141414,2.3839321616161615,3.1735219393939396,2.566406111111111,2.5507971717171714,2.3116446363636367,1.7876556262626262,2.667496111111111,1.3504941212121213,2.3080989494949495,3.220725929292929,1.7057172727272727,1.4539434040404042,2.966973585858586,3.1095082626262625,3.388971292929293,2.369676505050505,2.349332565656566,1.5773795858585857,3.0527096565656566,2.0627818484848484,2.8794521414141414,10.644461859979101
"Albany-Schenectady-Troy, NY",2.8179097096397716,4.5466352174203974,3.632494373635121,1.818597883280628,3.733935809298862,1.6582443916669491,3.25051638115548,2.126478667261065,3.809237902815833,2.4978669381434426,1.9621523659062015,1.70107741520044,1.8018085454354273,1.4579142814685817,1.9594648735642972,1.167040414758117,1.2267860391069074,1.8223527312353842,4.609335900370456,3.9829390541589214,3.1427958623254715,3.8890397430182064,3.8544710973692653,4.1674631494608265,3.359633687104766,2.047893894640245,1.415040341761801,4.106201750521184,1.9875575919210458,3.1947712304137417,2.9752952031861155,2.1277266835427198,1.6441567274361,1.6852964962637182,3.4830746300433724,2.1636412430925063,3.2044356359326103,3.106445015959254,2.9326969592689247,2.2802399345466364,1.3127412941030274,1.515029181146442,1.8069263067426873,3.087546774562174,3.019379475695268,3.190508956387308,3.1669056878903454,2.710727518655338,4.005878478513448,4.279011650733483,3.8260866657455224,2.085409287738444,2.55542940691362,1.4171186989623226,4.276378700543909,3.045817304124379,3.639886746215271,3.039674724069579,3.213820221370019,3.4003342779404266,1.4306822157510408,1.43537006003947,1.1569288546617271,2.8231193620121955,3.151471615295509,2.706842240187427,1.8635370834321825,1.941084998127297,2.592902353522898,2.4525637714068216,3.2617510330282258,2.750852962824888,2.2718578396740194,1.9106844934099099,1.8786135809646463,2.8615496257635282,1.4441518966441682,2.127979994664317,3.424991697538025,1.410817229390055,1.5893134557412036,3.1695281761435874,3.2807073638510076,3.587744319974138,2.5466510776081193,2.500660303821096,1.613216608747566,3.138914423985199,1.7748598792258565,3.107786910717684,10.020848377500737
"Albuquerque, NM",2.8328118517338208,4.5565400985514914,3.649304695376277,1.852742161678963,3.790434384689544,1.6891789435127784,3.3155264372343045,2.1296698169271253,3.662891675034624,2.537717347928655,2.035573321848687,1.7242898179493191,1.8219370213478125,1.4739784973553245,2.011055837827979,1.192419319359345,1.235779754352841,1.8462266749444307,4.601089850318784,3.9272389167152713,3.1621051511543774,3.9009158183461707,3.853780129157171,4.173469434907311,3.393328760019001,2.039953033710342,1.417442981137521,4.06553792037713,1.9810199302703602,3.1442223516666767,2.9749814622179196,2.1647802068238438,1.6385953922116863,1.7170117341815536,3.563910979461925,2.0936118565441437,3.218725359120673,3.1601950175075713,2.9506214310911214,2.348106202911448,1.3391856163326499,1.5483816600424511,1.8403703222114656,3.1203798301154277,2.9073030333094825,3.280846642394579,3.227845965441838,2.796200246228406,3.957459907962488,4.267987347848482,3.828208688345189,2.1438359985528948,2.6520161351259803,1.4496554205324625,4.299013349648345,2.9998256889284405,3.6291331737909553,2.9888545223048664,3.2134412028212544,3.359248988830029,1.426208049975247,1.4513168679987252,1.1644208401229037,2.773914966518148,3.1129325502528427,2.6600602011917576,1.8462524211958864,1.928455890340671,2.5895495252812535,2.423799262216717,3.2483845742964403,2.732851081420729,2.298465487436038,1.9381015845003378,1.840735676762332,2.847813490751152,1.4162855728393131,2.147634226550177,3.3731080794384747,1.4089851376053009,1.5631953081312495,3.194995120528654,3.2747618318912384,3.5732019609081083,2.4831431612239867,2.442652054308546,1.5856134043657688,3.114297732934878,1.785900111138503,3.044102226377807,10.33096917935388
"Alexandria, LA",2.8804976154870583,4.56898796955561,3.638675155681539,1.8978373100015624,3.8227003400069934,1.7651619311206839,3.348930399006019,2.125911322902484,3.585681903741565,2.6075462803830103,2.140392615077859,1.7321636720755307,1.8528107939200502,1.4930880744592996,2.039670550335171,1.1942533535700735,1.2660502272913272,1.8799994940814975,4.614728344084102,3.890970850166284,3.198240824647159,3.9263369268426964,3.860129120817802,4.202321005289824,3.439347551131249,2.0789274899746295,1.4912406758475996,4.01111426318178,2.016241762084384,3.0997712727570326,2.905763505420024,2.213892187279126,1.6683467699335612,1.7614853990432189,3.6067366247795904,2.0375727220647426,3.2030610970991527,3.2183990804187217,2.9720444389884606,2.4527124820510533,1.3401191586872905,1.5557484394646193,1.9171151634191161,3.171589915853849,2.8244495681092783,3.3638081973677356,3.323975053753841,2.859574492779501,3.9027065895884947,4.271618009210693,3.864271879115238,2.2120227886525456,2.7543549911092264,1.4761613359224457,4.315019068663556,2.952681390383084,3.572002008794054,2.9258636326436473,3.212919752397533,3.3188416772686353,1.44495997291848,1.4438306958611402,1.1709801798986674,2.7711889233607865,3.0836527762277823,2.626114642620658,1.8173458324963359,1.927330037423089,2.5569395799388435,2.4344084994308415,3.232206518908704,2.7111469842049267,2.3243272399913697,2.022739563570892,1.7519150205715392,2.80684221294705,1.3681154833381692,2.149780468569813,3.3401348198409337,1.429224196296379,1.5159984152846908,3.1954744473956356,3.2656134187442802,3.5237370190984234,2.4409879323557204,2.4069961609713637,1.5505969615129938,3.111613790743179,1.8150145377169682,2.99214119590206,10.391802302500992
"Allentown-Bethlehem-Easton, PA-NJ",2.8630871875920474,4.496117420943222,3.573924935520413,1.9297068240148056,3.6614408429485255,1.6556960754814984,3.2522948641204223,2.1461819733762386,3.490434621447024,2.700316215494315,1.957969638903757,1.806885901484271,1.9678647053047988,1.5005340651753223,2.143852785950999,1.1767693884811956,1.2825366950345176,1.8950024408809556,4.588835143407035,3.9100191870979595,3.106545405981214,3.893610355374108,3.8073626249605415,4.169313435719421,3.369633514182342,2.0572325773147986,1.611182921434672,3.987491375096469,2.1550093011077927,3.018341681103971,2.9349197729305034,2.2256929979866955,1.7029422919576562,1.882027986727182,3.5562343562440417,2.0350913482805617,3.186537045541644,3.217033755314353,3.028028336178564,2.457022705893904,1.3444560615034433,1.5909855626959066,1.8943360951605737,3.1509543812862977,2.8132022288874885,3.375147192934114,3.375164998062709,2.8514093215892333,3.926746532671593,4.091582825784234,3.8739392271317854,2.297214049001319,2.8699042883280073,1.4640357992354298,4.268625683726439,2.915309016373539,3.5227630149525075,2.9227805255284265,3.166248331132106,3.3021485157817945,1.5494669441162838,1.516623102431485,1.1797611072224528,2.7294839627153324,3.060779474007046,2.605050972393341,1.7956344083978129,1.913480893666484,2.506180855342964,2.3824383925658705,3.202027750240446,2.639753986226759,2.3874358017692168,2.088470046948952,1.784439853716062,2.750206285057311,1.3850829403324962,2.1789745723971414,3.3002284736364795,1.504800294341527,1.5150948607420405,3.075302926840083,3.193630011222562,3.472129491268466,2.4275877254937983,2.3974159136570035,1.5661838103714214,3.064835070560674,1.8876250608372687,2.9650552175414036,10.38585352112676
"Altoona, PA",2.8285019697700595,4.543048520662485,3.576561947258402,1.9179590770220292,3.7706445972021223,1.7037198504582731,3.3314996382054995,2.123741960122206,3.4820821273516644,2.679006070107734,2.060390939057726,1.7454779707348447,1.8871564962212575,1.491704253095353,2.095855844991156,1.176061464865734,1.2518986171410196,1.8747216192313876,4.595557364528059,3.9101338639652674,3.1227623010130245,3.9242868628396854,3.8431407782601705,4.172194685640779,3.395665098890497,2.071444967036501,1.5124037224634186,3.9935648818137968,2.0538633622768936,3.0234159430776653,2.9386706062067858,2.2019719810258884,1.6627586830680174,1.8037035697057406,3.6122320710725195,1.9760590529023958,3.1500898456343465,3.1933550410033766,2.9901758723267404,2.482249155812832,1.3404864126065283,1.587949027174787,1.9164083855925391,3.1798014150184915,2.7463289917993245,3.4446187087956264,3.3767756070107735,2.936950273355845,3.941087795465509,4.159784129281235,3.843559856890175,2.221613402476282,2.7700476362759288,1.4419870557967518,4.261676314520019,2.936558932304229,3.5631174626145685,2.9177586830680173,3.1821864447660397,3.302361111111111,1.4837608538350218,1.4779819906737417,1.1680346518732916,2.7343021386074935,3.0673002090368224,2.5997768933912204,1.821827263225599,1.92287948223187,2.5248785978453125,2.387124135713137,3.206802942595272,2.699557404727448,2.361248794018331,2.0542717880688213,1.7786344267567133,2.812251969770059,1.3703758642868629,2.175987095996141,3.2988513024602026,1.4574829152596882,1.502694967036501,3.176656616819425,3.247549847242322,3.507486533204695,2.4110950313555235,2.3764998392024443,1.5696904647049366,3.0853666184274,1.8553185801575816,2.9622608136356328,10.555665119876256
